Epoch 1: Loss=0.512879, Acc=0.8424
Epoch 2: Loss=0.131383, Acc=0.9589
Epoch 3: Loss=0.077755, Acc=0.9769
Epoch 4: Loss=0.053411, Acc=0.9829
Epoch 5: Loss=0.037845, Acc=0.9878
Epoch 6: Loss=0.028249, Acc=0.9915
Epoch 7: Loss=0.020391, Acc=0.9936
Epoch 8: Loss=0.024134, Acc=0.9914
Epoch 9: Loss=0.013613, Acc=0.9956
Epoch 10: Loss=0.020686, Acc=0.9933
Epoch 11: Loss=1.450261, Acc=0.5717
Epoch 12: Loss=0.410735, Acc=0.8993
Epoch 13: Loss=0.214064, Acc=0.9427
Epoch 14: Loss=0.153875, Acc=0.9575
Epoch 15: Loss=0.121195, Acc=0.9684
